region;station;Number
Moscow oblast;Moskva (Dolgoprudnyj);27612
Oryol Oblast;Orel;27906
Ryazan Oblast;Rjazan;27730
Rostov Oblast;Rostov;27329
Kursk Oblast;Kursk;34009
Vladimir Oblast;Vladimir;27532
Smolensk Oblast;Roslavl;26882
Smolensk Oblast;Smolensk;26781
Leningrad Oblast;Belogorka;26069
Kirov Oblast;Nikolaevskoe;26167
Leningrad Oblast;Volosovo;26067
Leningrad oblast;Lomonosov;26060
Leningrad oblast;St.petersburg (Voejkovo);26063
Pskov Oblast;Dno;26268
Novgorod Oblast;Novgorod;26179
Leningrad Oblast;Petrokrepost;26072
Leningrad Oblast;Kingisepp;26059
Novgorod Oblast;Staraja Russa;26275
Pskov Oblast;Pskov;26258
Leningrad Oblast;Kirishi;26080
Leningrad Oblast;Vyborg;22892
Pskov Oblast;Gdov;26157
Novgorod Oblast;Holm;26378
Republic of Karelia;Valaam;22805
Leningrad Oblast;Novaja Ladoga;22917
Pskov Oblast;Opochka;26456
Novgorod Oblast;Krestcy;26285
Pskov Oblast;Velikie Luki;26477
Republic of Karelia;Sortavala;22802
Novgorod Oblast;Demjansk;26381
Tver Oblast;Toropets;26479
Republic of Karelia;Olonec;22912
Smolensk Oblast;Velizh;26578
Leningrad Oblast;Tihvin;26094
Tver Oblast;Ostaskov;26389
Republic of Karelia;Suoyarvi;22717
Leningrad Oblast;Lodejnoe Pole;22913
Novgorod Oblast;Borovici;26291
Tver Oblast;Bologoe;26298
Tver Oblast;Belyj;26585
Smolensk Oblast;Smolensk;26781
Vologda Oblast;Efimovskaja;26099
Tver Oblast;Vysnij Volocek;26393
Republic of Karelia;Reboly;22602
Leningrad Oblast;Vinnicy;22925
Republic of Karelia;Petrozavodsk;22820
Smolensk Oblast;Pochinok;26784
Republic of Karelia;Kondopoga;22727
Republic of Karelia;Padany;22619
Tver Oblast;Staritsa;26499
Smolensk Oblast;Roslavl;26882
Smolensk Oblast;Vjaz'Ma;26695
Republic of Karelia;Medvezegorsk;22721
Vologda Oblast;Babaevo;27008
Tver Oblast;Maksatikha;27208
Kaluga Oblast;Spas-Demensk;26795
Smolensk Oblast;Gagarin;27507
Bryansk Oblast;Krasnaja Gora;26976
Tver Oblast;Tver;27402
Republic of Karelia;Kalevala;22408
Republic of Karelia;Segeza;22621
Vologda Oblast;Ustyuzhna;27106
Bryansk Oblast;Zukovka;26894
Vologda Oblast;Vytegra;22837
Republic of Karelia;Pudoz;22831
Tver Oblast;Krasnyy Kholm;27215
Bryansk Oblast;Brjansk;26898
Moscow Oblast;Klin;27417
Kaluga Oblast;Suhinici;27707
Republic of Karelia;Raznavolok;22525
Bryansk Oblast;Trubcevsk;26997
Moscow Oblast;Novo-Jerusalim;27511
Moscow oblast;Dubna (Ctbt);27415
Kaluga Oblast;Malojaroslavec;27606
Moscow oblast;Naro-Fominsk;27611
Krasnodar Krai;Port;22520
